City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
1503,Hithadhoo,MV,82.02,clear sky,-0.6,73.0833,Scoop Guest House
1507,Manggar,ID,85.55,broken clouds,-2.8833,108.2667,Guest Hotel
1509,Kimbe,PG,77.14,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
1510,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
1517,Atuona,PF,78.87,broken clouds,-9.8,-139.0333,Villa Enata
1521,Port Alfred,ZA,89.37,scattered clouds,-33.5906,26.891,The Halyards Hotel
1524,Port Elizabeth,ZA,87.87,broken clouds,-33.918,25.5701,39 On Nile Guest House
1533,Tura,IN,84.61,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
1535,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1538,Kavieng,PG,82.96,clear sky,-2.5744,150.7967,Nusa Island Retreat
1540,Tecoanapa,MX,75.67,clear sky,16.5167,-98.75,Hotel Manglares
1541,Souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
1548,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
1553,Puerto Ayora,EC,77.25,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1556,Hithadhoo,MV,82.02,clear sky,-0.6,73.0833,Scoop Guest House
1560,Deniliquin,AU,75.11,clear sky,-35.5333,144.9667,Riviana Motel
1562,Butaritari,KI,81.19,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
1563,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1569,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1570,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1577,Maine-Soroa,NE,83.91,broken clouds,13.2114,12.0241,Complexe
1578,Puerto Ayora,EC,77.25,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1581,Champasak,LA,79.18,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
1583,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1584,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
1585,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1587,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1593,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1597,Hithadhoo,MV,82.02,clear sky,-0.6,73.0833,Scoop Guest House
1605,Puerto Ayora,EC,77.25,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1609,Tsabong,BW,81.32,clear sky,-26.0217,22.401,Springbok Motel
1610,Sibolga,ID,84.4,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
1611,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
1614,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
